in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-1,0.2,-0.4,0.104952,185.579764,https://drive.google.com/uc?export=view&id=1K5LuAeMBsZv5kRc1UgMVNvAa5_PDw2yI
-0.2,0.2,-0.4,0.097118,153.773104,https://drive.google.com/uc?export=view&id=1M7zsap8Y8Iv8v6YQn2pokWwtwNUij6LF
0.6,0.2,-0.4,0.122328,125.218309,https://drive.google.com/uc?export=view&id=1RBiaLx78MqCgQk91haudUglJZDTcPhKk
1.4,0.2,-0.4,0.49907,107.217985,https://drive.google.com/uc?export=view&id=1OMvfQ4PWyaiQZ_QY1Je8vcF4VKMFZvak
2.2,0.2,-0.4,0.359413,112.64993,https://drive.google.com/uc?export=view&id=1Ph8P6itAcnZ2CxEx6DsgZeMT8D5kQiTs
3,0.2,-0.4,0.114413,135.576827,https://drive.google.com/uc?export=view&id=1LxrfNarNyx3sQrqdvV1CaxXFWdNR1Zkn
-1,0.6,-0.4,0.106556,178.639654,https://drive.google.com/uc?export=view&id=1LANsTwViY0oeh4bYnB-evkfi6abmU6rZ
-0.2,0.6,-0.4,0.097652,147.008348,https://drive.google.com/uc?export=view&id=1MSRP3gWU5NLZm5asKBmkRAHCce3_bZBg
0.6,0.6,-0.4,0.114447,118.047401,https://drive.google.com/uc?export=view&id=1LENSPnH0ArxrVkJX1uRdmHldWHG1dzA_
1.4,0.6,-0.4,0.367548,98.119462,https://drive.google.com/uc?export=view&id=1TR--8BGnC53EtxiKzQpWmSLfjRovVYRU
2.2,0.6,-0.4,0.429223,106.989992,https://drive.google.com/uc?export=view&id=1TTq0_7xgfQp3L8bNUTqd3AWBXGqmZWNT
3,0.6,-0.4,0.126855,130.465461,https://drive.google.com/uc?export=view&id=1Hdv8A3kAykFQTTQT8vjagpdhDc8fAZyl
-1,1,-0.4,0.144823,147.09636,https://drive.google.com/uc?export=view&id=1NZ4a8IMk6_V5U0hpfsE85FwwMY5rzTPy
-0.2,1,-0.4,0.13004,124.926778,https://drive.google.com/uc?export=view&id=1QPBnyrOK4OZcwpGXYmLdWLGCDs4COjm8
0.6,1,-0.4,0.144046,105.181512,https://drive.google.com/uc?export=view&id=1Ptvl1yjasPcUMTX-FcewT69vtQJR7oJd
1.4,1,-0.4,0.387935,89.696334,https://drive.google.com/uc?export=view&id=1NCk7yrJTZdvyNKY075uTx9oNy_1PQRwr
2.2,1,-0.4,0.513562,96.583263,https://drive.google.com/uc?export=view&id=1J7nXtE8kqZ4eDHCefU0ZyJwidJAmnaJo
3,1,-0.4,0.172019,111.237152,https://drive.google.com/uc?export=view&id=1InFbjirVW637MJB7iosd1BsmiA0cspRD
-1,-1,0.4,0.129531,233.372906,https://drive.google.com/uc?export=view&id=1LsZq0qedXJ-ejtkUdBjSeYcpMPwbcZAK
-0.2,-1,0.4,0.126566,201.728073,https://drive.google.com/uc?export=view&id=1IvWQeY9wtkD_PHF9OP0hAgw6tC5Mux0n
0.6,-1,0.4,0.149099,171.887395,https://drive.google.com/uc?export=view&id=1TfaTvkmPiAfekJ4AMorx3JQ_-qL5d_Gq
1.4,-1,0.4,0.286407,145.293084,https://drive.google.com/uc?export=view&id=1NdL_UuarxZ7fA4tIPLel7Yz_XReq0NUU
2.2,-1,0.4,0.744367,138.848202,https://drive.google.com/uc?export=view&id=1RwUxjFBAj8Fh9bwCaD71R6UVEiBmUvBN
3,-1,0.4,0.336621,159.121265,https://drive.google.com/uc?export=view&id=1J_l9P7sdp6H-Qk17T3rmSGHY9aaqrrPw
-1,-0.6,0.4,0.119646,221.071358,https://drive.google.com/uc?export=view&id=1O6e5cZYrs0P9xEboZ3LuyweUCqN3AKdF
-0.2,-0.6,0.4,0.111961,188.727922,https://drive.google.com/uc?export=view&id=1OJkP6aJPm6BICwNVl-7BPP2K47vrGgm1
0.6,-0.6,0.4,0.125026,158.142365,https://drive.google.com/uc?export=view&id=1IYqdRBYiA5e7HTdMQ21hqlugdlhcnCd9
1.4,-0.6,0.4,0.254048,131.997096,https://drive.google.com/uc?export=view&id=1L0x2ljXPTTAz3ym_G-IsdBhIqBM3f3Vx
2.2,-0.6,0.4,0.687748,125.46937,https://drive.google.com/uc?export=view&id=1LWrGKU85duzmYtAN4hXIdwdvzrWgRNrX
3,-0.6,0.4,0.252619,143.854998,https://drive.google.com/uc?export=view&id=1SQ9xqFR3CKj_NkTtvuvm71TATW5cFBVp
-1,-0.2,0.4,0.11408,210.719855,https://drive.google.com/uc?export=view&id=1S9xoDSdNUtwBkyWnnzNeVf8feWkX7sqY
-0.2,-0.2,0.4,0.103592,178.150559,https://drive.google.com/uc?export=view&id=1RdT2Z1UtMAwq02ZfAN4kekjJfOeyOU1U
0.6,-0.2,0.4,0.111094,147.551229,https://drive.google.com/uc?export=view&id=1NoxpnhLGnpyQ0A6H_VsNpRMe36vpQSuA
1.4,-0.2,0.4,0.243798,122.707159,https://drive.google.com/uc?export=view&id=1LL0jzkYUlxyVtArUadP7cU67xOrVvQ9G
2.2,-0.2,0.4,0.59338,115.560376,https://drive.google.com/uc?export=view&id=1K6LaJiTswvJuYO0wz-D6BT2mN06DMiE8
3,-0.2,0.4,0.181546,131.484569,https://drive.google.com/uc?export=view&id=1M4ZmoEFhlnvAQB_fFfrh7GIgb0vr_SbY
-1,0.2,0.4,0.112951,202.334055,https://drive.google.com/uc?export=view&id=1JMNiweChLSXt173y_pvCXw6zkG71CONA
-0.2,0.2,0.4,0.101784,169.965637,https://drive.google.com/uc?export=view&id=1P52sJXTSqt6tO_94iBZQ8rSItF98cJSw
0.6,0.2,0.4,0.108734,139.758164,https://drive.google.com/uc?export=view&id=1HMqFWnwG4r1gYIycJLQpVrNmbalWFokp
1.4,0.2,0.4,0.264406,115.320088,https://drive.google.com/uc?export=view&id=1IttzMUDZPRs9oDQLYN_7G3ZgknRlvBvt
2.2,0.2,0.4,0.462599,106.393036,https://drive.google.com/uc?export=view&id=1Rx7i8-BsR-tVW_cdaS4rHx8D9xDatARc
3,0.2,0.4,0.136079,121.527168,https://drive.google.com/uc?export=view&id=1P8S0yr1R1IGPMEfFi1Jv48g_FOSThOYe
-1,0.6,0.4,0.116383,195.877659,https://drive.google.com/uc?export=view&id=1U02TivvM_bxurDE_9-wKrbiSZrbrav0a
-0.2,0.6,0.4,0.10689,164.086523,https://drive.google.com/uc?export=view&id=1PmScUDyZ8927vfKwb-hmT23Ze40zPDYp
0.6,0.6,0.4,0.119261,134.565114,https://drive.google.com/uc?export=view&id=1HuOcHLMOnGYoiHSVYnU9dGUBERzLyXMI
1.4,0.6,0.4,0.316988,109.95756,https://drive.google.com/uc?export=view&id=1RpTKJ_Odmp1QEgnAJrYzDhkpxcJbqtaM
2.2,0.6,0.4,0.416587,97.486509,https://drive.google.com/uc?export=view&id=1QbyLWOzG610wQfK5C50O6X3DWB5J7e3c
3,0.6,0.4,0.123998,114.146424,https://drive.google.com/uc?export=view&id=1RCVfk0klqsvApjDdNcrC681rcG2ZxLLv
-1,1,0.4,0.163389,155.800884,https://drive.google.com/uc?export=view&id=1RzWyTqjrpREauVL62accW_F0Xu7bTZcn
-0.2,1,0.4,0.149374,133.631302,https://drive.google.com/uc?export=view&id=1PN_HYuD8cyXI1b73RJ04cvQwtTIEndmn
0.6,1,0.4,0.162719,113.886036,https://drive.google.com/uc?export=view&id=1K_e4JGRoSbVJy0RDAjKhTTvXucMTUIyF
1.4,1,0.4,0.396464,98.400858,https://drive.google.com/uc?export=view&id=1UUtHnlcT-hu5wvhAMLMlIK3Pf2pTai3p
2.2,1,0.4,0.509379,89.184418,https://drive.google.com/uc?export=view&id=1IhC2BH7JYsrQwXSMkyvKdKj1G8a_2SRF
3,1,0.4,0.153821,102.532628,https://drive.google.com/uc?export=view&id=1JiSkkndFCEeKDUHJiXn6HSPZAaMICBIZ
-1,-1,1.2,0.076156,255.004726,https://drive.google.com/uc?export=view&id=1R8r9Klb5ThmJVKku50r-9_Cgl4-7dozN
-0.2,-1,1.2,0.072199,222.334981,https://drive.google.com/uc?export=view&id=1N2MOvfaXWhDZECCZUSBAhu0O6MO3SY0c
0.6,-1,1.2,0.071112,190.690148,https://drive.google.com/uc?export=view&id=1MoWWrZ_DmuJKWXEJWZ1GLPH-2H9hQo_8
1.4,-1,1.2,0.079202,160.84947,https://drive.google.com/uc?export=view&id=1M3mg4FfXICh77kKXbolJhPodaCabNbiN
2.2,-1,1.2,0.107397,149.05285,https://drive.google.com/uc?export=view&id=1OLtx2upo7HekkWDcBtLuz86aihAUjE2k
3,-1,1.2,0.147573,162.628372,https://drive.google.com/uc?export=view&id=1Hy4qycfdAgry-SNmmC0AvghEcm9xeL5S
-1,-0.6,1.2,0.073885,243.380982,https://drive.google.com/uc?export=view&id=1JjAPegWfzfMUUHi9Kg6Fq6pS_vuDPTDB
