in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
0.6,-0.6,0.4,0.125026,158.142365,dy_40.6_dx_0-0.6_dy_00.4.png
1.4,-0.6,0.4,0.254048,131.997096,dy_41.4_dx_0-0.6_dy_00.4.png
2.2,-0.6,0.4,0.687748,125.46937,dy_42.2_dx_0-0.6_dy_00.4.png
3,-0.6,0.4,0.252619,143.854998,dy_43_dx_0-0.6_dy_00.4.png
-1,-0.2,0.4,0.11408,210.719855,dy_4-1_dx_0-0.2_dy_00.4.png
-0.2,-0.2,0.4,0.103592,178.150559,dy_4-0.2_dx_0-0.2_dy_00.4.png
0.6,-0.2,0.4,0.111094,147.551229,dy_40.6_dx_0-0.2_dy_00.4.png
1.4,-0.2,0.4,0.243798,122.707159,dy_41.4_dx_0-0.2_dy_00.4.png
2.2,-0.2,0.4,0.59338,115.560376,dy_42.2_dx_0-0.2_dy_00.4.png
3,-0.2,0.4,0.181546,131.484569,dy_43_dx_0-0.2_dy_00.4.png
-1,0.2,0.4,0.112951,202.334055,dy_4-1_dx_00.2_dy_00.4.png
-0.2,0.2,0.4,0.101784,169.965637,dy_4-0.2_dx_00.2_dy_00.4.png
0.6,0.2,0.4,0.108734,139.758164,dy_40.6_dx_00.2_dy_00.4.png
1.4,0.2,0.4,0.264406,115.320088,dy_41.4_dx_00.2_dy_00.4.png
2.2,0.2,0.4,0.462599,106.393036,dy_42.2_dx_00.2_dy_00.4.png
3,0.2,0.4,0.136079,121.527168,dy_43_dx_00.2_dy_00.4.png
-1,0.6,0.4,0.116383,195.877659,dy_4-1_dx_00.6_dy_00.4.png
-0.2,0.6,0.4,0.10689,164.086523,dy_4-0.2_dx_00.6_dy_00.4.png
0.6,0.6,0.4,0.119261,134.565114,dy_40.6_dx_00.6_dy_00.4.png
1.4,0.6,0.4,0.316988,109.95756,dy_41.4_dx_00.6_dy_00.4.png
2.2,0.6,0.4,0.416587,97.486509,dy_42.2_dx_00.6_dy_00.4.png
3,0.6,0.4,0.123998,114.146424,dy_43_dx_00.6_dy_00.4.png
-1,1,0.4,0.163389,155.800884,dy_4-1_dx_01_dy_00.4.png
-0.2,1,0.4,0.149374,133.631302,dy_4-0.2_dx_01_dy_00.4.png
0.6,1,0.4,0.162719,113.886036,dy_40.6_dx_01_dy_00.4.png
1.4,1,0.4,0.396464,98.400858,dy_41.4_dx_01_dy_00.4.png
2.2,1,0.4,0.509379,89.184418,dy_42.2_dx_01_dy_00.4.png
3,1,0.4,0.153821,102.532628,dy_43_dx_01_dy_00.4.png
-1,-1,1.2,0.076156,255.004726,dy_4-1_dx_0-1_dy_01.2.png
-0.2,-1,1.2,0.072199,222.334981,dy_4-0.2_dx_0-1_dy_01.2.png
0.6,-1,1.2,0.071112,190.690148,dy_40.6_dx_0-1_dy_01.2.png
1.4,-1,1.2,0.079202,160.84947,dy_41.4_dx_0-1_dy_01.2.png
2.2,-1,1.2,0.107397,149.05285,dy_42.2_dx_0-1_dy_01.2.png
3,-1,1.2,0.147573,162.628372,dy_43_dx_0-1_dy_01.2.png
-1,-0.6,1.2,0.073885,243.380982,dy_4-1_dx_0-0.6_dy_01.2.png
-0.2,-0.6,1.2,0.069108,210.264954,dy_4-0.2_dx_0-0.6_dy_01.2.png
0.6,-0.6,1.2,0.067551,178.201227,dy_40.6_dx_0-0.6_dy_01.2.png
1.4,-0.6,1.2,0.083296,149.011205,dy_41.4_dx_0-0.6_dy_01.2.png
2.2,-0.6,1.2,0.07946,136.526911,dy_42.2_dx_0-0.6_dy_01.2.png
3,-0.6,1.2,0.145446,146.707012,dy_43_dx_0-0.6_dy_01.2.png
-1,-0.2,1.2,0.072812,233.624833,dy_4-1_dx_0-0.2_dy_01.2.png
-0.2,-0.2,1.2,0.067792,200.554684,dy_4-0.2_dx_0-0.2_dy_01.2.png
0.6,-0.2,1.2,0.066861,168.910723,dy_40.6_dx_0-0.2_dy_01.2.png
1.4,-0.2,1.2,0.09261,141.525089,dy_41.4_dx_0-0.2_dy_01.2.png
2.2,-0.2,1.2,0.085836,127.912546,dy_42.2_dx_0-0.2_dy_01.2.png
3,-0.2,1.2,0.140442,133.322297,dy_43_dx_0-0.2_dy_01.2.png
-1,0.2,1.2,0.073039,225.708215,dy_4-1_dx_00.2_dy_01.2.png
-0.2,0.2,1.2,0.068454,193.09105,dy_4-0.2_dx_00.2_dy_01.2.png
0.6,0.2,1.2,0.069396,162.321819,dy_40.6_dx_00.2_dy_01.2.png
1.4,0.2,1.2,0.10433,136.231066,dy_41.4_dx_00.2_dy_01.2.png
2.2,0.2,1.2,0.119093,120.866262,dy_42.2_dx_00.2_dy_01.2.png
3,0.2,1.2,0.125926,121.641397,dy_43_dx_00.2_dy_01.2.png
-1,0.6,1.2,0.074588,219.553563,dy_4-1_dx_00.6_dy_01.2.png
-0.2,0.6,1.2,0.071132,187.69565,dy_4-0.2_dx_00.6_dy_01.2.png
0.6,0.6,1.2,0.075056,158.014411,dy_40.6_dx_00.6_dy_01.2.png
1.4,0.6,1.2,0.115561,132.846395,dy_41.4_dx_00.6_dy_01.2.png
2.2,0.6,1.2,0.127813,115.69573,dy_42.2_dx_00.6_dy_01.2.png
3,0.6,1.2,0.088025,111.014063,dy_43_dx_00.6_dy_01.2.png
-1,1,1.2,0.090854,170.87653,dy_4-1_dx_01_dy_01.2.png
-0.2,1,1.2,0.087371,148.706949,dy_4-0.2_dx_01_dy_01.2.png
0.6,1,1.2,0.090675,128.961683,dy_40.6_dx_01_dy_01.2.png
1.4,1,1.2,0.125532,113.476505,dy_41.4_dx_01_dy_01.2.png
2.2,1,1.2,0.134392,104.260065,dy_42.2_dx_01_dy_01.2.png
3,1,1.2,0.078362,101.504906,dy_43_dx_01_dy_01.2.png
-1,-1,2,0.060479,281.675398,dy_4-1_dx_0-1_dy_02.png
-0.2,-1,2,0.057369,248.390296,dy_4-0.2_dx_0-1_dy_02.png
0.6,-1,2,0.05463,215.720552,dy_40.6_dx_0-1_dy_02.png
1.4,-1,2,0.053836,184.075719,dy_41.4_dx_0-1_dy_02.png
2.2,-1,2,0.05995,169.032732,dy_42.2_dx_0-1_dy_02.png
3,-1,2,0.078935,177.256516,dy_43_dx_0-1_dy_02.png
-1,-0.6,2,0.059541,270.555406,dy_4-1_dx_0-0.6_dy_02.png
-0.2,-0.6,2,0.056202,236.998073,dy_4-0.2_dx_0-0.6_dy_02.png
0.6,-0.6,2,0.053732,204.161754,dy_40.6_dx_0-0.6_dy_02.png
1.4,-0.6,2,0.059305,173.493563,dy_41.4_dx_0-0.6_dy_02.png
2.2,-0.6,2,0.04901,157.964516,dy_42.2_dx_0-0.6_dy_02.png
3,-0.6,2,0.067107,162.188048,dy_43_dx_0-0.6_dy_02.png
-1,-0.2,2,0.059229,261.226345,dy_4-1_dx_0-0.2_dy_02.png
-0.2,-0.2,2,0.056008,227.883157,dy_4-0.2_dx_0-0.2_dy_02.png
0.6,-0.2,2,0.054539,195.738343,dy_40.6_dx_0-0.2_dy_02.png
