in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
-2,0.2,-0.4,0.050334,140.846508,dy_4-2_dx_00.2_dy_0-0.4.png
-1.2,0.2,-0.4,0.112693,126.235416,dy_4-1.2_dx_00.2_dy_0-0.4.png
-0.4,0.2,-0.4,0.111737,129.787531,dy_4-0.4_dx_00.2_dy_0-0.4.png
0.4,0.2,-0.4,0.104476,144.784266,dy_40.4_dx_00.2_dy_0-0.4.png
1.2,0.2,-0.4,0.068267,167.487742,dy_41.2_dx_00.2_dy_0-0.4.png
2,0.2,-0.4,0.056411,195.094186,dy_42_dx_00.2_dy_0-0.4.png
-2,0.6,-0.4,0.050118,132.212285,dy_4-2_dx_00.6_dy_0-0.4.png
-1.2,0.6,-0.4,0.079046,115.457316,dy_4-1.2_dx_00.6_dy_0-0.4.png
-0.4,0.6,-0.4,0.106997,122.791888,dy_4-0.4_dx_00.6_dy_0-0.4.png
0.4,0.6,-0.4,0.11336,139.480112,dy_40.4_dx_00.6_dy_0-0.4.png
1.2,0.6,-0.4,0.073143,162.970431,dy_41.2_dx_00.6_dy_0-0.4.png
2,0.6,-0.4,0.059654,191.018705,dy_42_dx_00.6_dy_0-0.4.png
-2,1,-0.4,0.058627,121.204799,dy_4-2_dx_01_dy_0-0.4.png
-1.2,1,-0.4,0.07105,106.057918,dy_4-1.2_dx_01_dy_0-0.4.png
-0.4,1,-0.4,0.136591,108.391319,dy_4-0.4_dx_01_dy_0-0.4.png
0.4,1,-0.4,0.155628,117.095843,dy_40.4_dx_01_dy_0-0.4.png
1.2,1,-0.4,0.088945,132.17149,dy_41.2_dx_01_dy_0-0.4.png
2,1,-0.4,0.069474,151.670632,dy_42_dx_01_dy_0-0.4.png
-2,-1,0.4,0.065399,171.255811,dy_4-2_dx_0-1_dy_00.4.png
-1.2,-1,0.4,0.124189,152.774014,dy_4-1.2_dx_0-1_dy_00.4.png
-0.4,-1,0.4,0.703139,144.703633,dy_4-0.4_dx_0-1_dy_00.4.png
0.4,-1,0.4,0.242116,149.62371,dy_40.4_dx_0-1_dy_00.4.png
1.2,-1,0.4,0.076615,165.888761,dy_41.2_dx_0-1_dy_00.4.png
2,-1,0.4,0.053714,189.512087,dy_42_dx_0-1_dy_00.4.png
-2,-0.6,0.4,0.050994,158.325856,dy_4-2_dx_0-0.6_dy_00.4.png
-1.2,-0.6,0.4,0.10352,138.451801,dy_4-1.2_dx_0-0.6_dy_00.4.png
-0.4,-0.6,0.4,0.628601,129.983994,dy_4-0.4_dx_0-0.6_dy_00.4.png
0.4,-0.6,0.4,0.207364,135.954093,dy_40.4_dx_0-0.6_dy_00.4.png
1.2,-0.6,0.4,0.077185,153.674233,dy_41.2_dx_0-0.6_dy_00.4.png
2,-0.6,0.4,0.056472,178.495073,dy_42_dx_0-0.6_dy_00.4.png
